out_dir,json_path,selection_mode,det_model,weight_mode,pop_z_mode,pop_mass_mode,n_events,H0_min,H0_max,H0_n,H0_map,H0_edge,slope_event,slope_sel,slope_total,delta_event,delta_sel,delta_total,exp_event_per_event
outputs/siren_gate2_gr_h0_smoke_smooth_20260202,outputs/siren_gate2_gr_h0_smoke_smooth_20260202/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,none,powerlaw_q_smooth,3,40.0,120.0,11,120.0,high,2.935618323078033,-2.4359587057969034,0.4996596172811294,3.2261327010367227,-2.6094109876669407,0.6167217133697829,0.9788508449290724
outputs/siren_gate2_gr_h0_smoke_smooth_20260202,outputs/siren_gate2_gr_h0_smoke_smooth_20260202/json/gr_h0_selection_on_none.json,on,snr_binned,none,none,powerlaw_q_smooth,3,40.0,120.0,11,40.0,low,2.935618323078033,-7.387548607472672,-4.451930284394639,3.2261327010367227,-7.857775822217279,-4.6316431211805575,0.9788508449290724
outputs/siren_gate2_gr_h0_smoke_smooth_comoving_20260202,outputs/siren_gate2_gr_h0_smoke_smooth_comoving_20260202/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_q_smooth,3,40.0,120.0,11,120.0,high,7.133195631521045,,7.133195631521045,7.853567435658462,,7.853567435658462,2.3828750496318247
outputs/siren_gate2_gr_h0_smoke_smooth_comoving_20260202,outputs/siren_gate2_gr_h0_smoke_smooth_comoving_20260202/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_binned,inv_sampling_pdf,comoving_uniform,powerlaw_q_smooth,3,40.0,120.0,11,120.0,high,7.133195631521045,-5.295950436398318,1.8372451951227267,7.853567435658462,-5.735368123692435,2.1181993119660234,2.3828750496318247
outputs/siren_gate2_gr_h0_smoke_smooth_comoving_20260202,outputs/siren_gate2_gr_h0_smoke_smooth_comoving_20260202/json/gr_h0_selection_on_none.json,on,snr_binned,none,comoving_uniform,powerlaw_q_smooth,3,40.0,120.0,11,40.0,low,7.133195631521045,-11.351128325422428,-4.2179326939013855,7.853567435658462,-12.105632774854904,-4.252065339196449,2.3828750496318247
outputs/siren_gate2_gr_h0_threshold_inv_20260203_042333UTC,outputs/siren_gate2_gr_h0_threshold_inv_20260203_042333UTC/json/gr_h0_selection_off.json,off,,,none,none,33,40.0,120.0,161,120.0,high,27.37603315302539,,27.37603315302539,30.164421960220167,,30.164421960220167,0.8320254580823151
outputs/siren_gate2_gr_h0_threshold_inv_20260203_042333UTC,outputs/siren_gate2_gr_h0_threshold_inv_20260203_042333UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,threshold,inv_sampling_pdf,none,none,33,40.0,120.0,161,120.0,high,27.37603315302539,-25.48906074391603,1.8869724091093554,30.164421960220167,-28.2964725799764,1.8679493802437719,0.8320254580823151
outputs/siren_gate2_gr_h0_threshold_weightedcal_20260203_044001UTC,outputs/siren_gate2_gr_h0_threshold_weightedcal_20260203_044001UTC/json/gr_h0_selection_off.json,off,,,none,none,33,40.0,120.0,161,120.0,high,27.37603315302539,,27.37603315302539,30.164421960220167,,30.164421960220167,0.8320254580823151
outputs/siren_gate2_gr_h0_threshold_weightedcal_20260203_044001UTC,outputs/siren_gate2_gr_h0_threshold_weightedcal_20260203_044001UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,threshold,inv_sampling_pdf,none,none,33,40.0,120.0,161,42.0,interior,27.37603315302539,-48.341295002790254,-20.965261849764868,30.164421960220167,-62.92949346258318,-32.765071502363014,0.8320254580823151
outputs/siren_gate2_gr_h0_volscale_masspeak_20260203_050830UTC,outputs/siren_gate2_gr_h0_volscale_masspeak_20260203_050830UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,140.0,101,40.0,low,-31.800276381957545,,-31.800276381957545,-37.79883250231751,,-37.79883250231751,-0.9143143559811647
outputs/siren_gate2_gr_h0_volscale_masspeak_20260203_050830UTC,outputs/siren_gate2_gr_h0_volscale_masspeak_20260203_050830UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,140.0,101,140.0,high,-31.800276381957545,63.76313735918212,31.9628609772246,-37.79883250231751,73.63205500667686,35.833222504359355,-0.9143143559811647
